ID,FirstName,LastName,Age,City,Email,Active
5232,José,Rodríguez,38,Murcia,user693@example.com,true
3174,José,López,36,Sevilla,user495@example.com,true
6985,Carlos,González,41,Madrid,user405@example.com,true
2118,Laura,Martínez,42,Málaga,user249@example.com,true
9054,Juan,López,20,Barcelona,user578@example.com,true
7206,Luis,Ramírez,68,Sevilla,user860@example.com,true
6116,Carlos,Rodríguez,25,Palma,user709@example.com,true
5117,Carlos,Rodríguez,21,Málaga,user457@example.com,true
5030,Isabel,Martínez,25,Málaga,user405@example.com,true
7341,María,Ramírez,45,Madrid,user239@example.com,false
1180,Carlos,González,36,Valencia,user360@example.com,false
3989,Carlos,García,50,Palma,user528@example.com,true
4629,Carlos,Ramírez,52,Palma,user641@example.com,false
3482,Isabel,Pérez,62,Sevilla,user474@example.com,false
3848,María,Pérez,60,Murcia,user48@example.com,false
7358,Carmen,González,68,Murcia,user987@example.com,true
4263,Laura,Sánchez,49,Zaragoza,user748@example.com,false
515,María,Ramírez,33,Sevilla,user731@example.com,true
2011,Carlos,López,43,Palma,user197@example.com,false
9701,Laura,González,63,Zaragoza,user734@example.com,true
4474,Isabel,Pérez,44,Málaga,user916@example.com,false
2771,María,García,52,Sevilla,user610@example.com,true
1746,Carlos,Martínez,26,Valencia,user60@example.com,false
