ID,FirstName,LastName,Age,City,Email,Active
5657,María,González,39,Madrid,user334@example.com,false
5223,Juan,Martínez,38,Málaga,user20@example.com,true
3073,Juan,López,24,Zaragoza,user893@example.com,false
884,Carlos,Sánchez,38,Murcia,user591@example.com,false
4639,Laura,García,67,Málaga,user960@example.com,true
6954,Luis,Rodríguez,57,Sevilla,user69@example.com,false
3286,Luis,González,68,Valencia,user479@example.com,true
5591,Luis,Martínez,28,Murcia,user32@example.com,true
6919,Isabel,Rodríguez,36,Zaragoza,user75@example.com,true
8949,José,García,24,Zaragoza,user236@example.com,true
2675,Carlos,García,41,Sevilla,user322@example.com,true
8371,José,González,32,Murcia,user726@example.com,false
1610,José,Pérez,41,Palma,user796@example.com,true
8761,Carmen,Martínez,20,Murcia,user755@example.com,false
6698,Laura,Sánchez,43,Madrid,user470@example.com,false
2635,María,García,54,Valencia,user372@example.com,true
6131,Luis,Ramírez,66,Sevilla,user863@example.com,true
