ID,FirstName,LastName,Age,City,Email,Active
2508,María,Sánchez,64,Sevilla,user824@example.com,true
2185,Luis,Ramírez,61,Palma,user549@example.com,true
1732,Isabel,González,22,Zaragoza,user739@example.com,true
2132,Carlos,López,43,Zaragoza,user201@example.com,true
6344,Luis,López,43,Madrid,user538@example.com,true
8524,Carlos,López,38,Valencia,user905@example.com,true
9702,Luis,López,57,Málaga,user814@example.com,true
8717,Luis,García,37,Madrid,user537@example.com,false
4120,María,Rodríguez,27,Valencia,user566@example.com,true
971,Ana,Rodríguez,66,Valencia,user358@example.com,false
8263,Juan,González,55,Palma,user151@example.com,true
8257,Ana,García,26,Barcelona,user172@example.com,false
4281,José,Martínez,55,Palma,user764@example.com,true
